date,quarter,year,quarter_num,department,region,revenue,expenses,employees,performance_score,simulated_customers,profit,profit_margin,customer_satisfaction,growth_rate,market_share,roi,expense_efficiency,revenue_per_customer,customer_growth_rate,nps,esg_score,rolling_revenue_avg,rolling_profit_avg,forecasted_revenue,profit_volatility,ytd_revenue,ytd_profit,region_competitiveness_index,profit_rank
2024-01-01,2024-Q1,2024,1,Cloud,Asia Pacific,52374845.36,16110364.56,8026,77.07,757204,36264480.81,69.24,80,-39.65,13.52,225.1,3.25,69.17,-48.18,63,92.83,62369790.82,31084523.69,58564506.05,7926040.38,52374845.36,36264480.81,14.29,1.0
2024-04-01,2024-Q2,2024,2,Cloud,Asia Pacific,87967540.55,40927299.77,5899,77.87,1986818,47040240.78,53.47,94,67.96,17.13,114.94,2.15,44.28,162.39,7,83.57,76806001.64,37747159.38,62369790.82,7097161.46,140342385.91,83304721.58,71.43,5.0
2024-07-01,2024-Q3,2024,3,Cloud,Asia Pacific,65339883.06,27370410.0,36033,93.23,1164889,37969473.06,58.11,95,-25.72,14.97,138.72,2.39,56.09,-41.37,91,75.64,73115431.9,37778285.18,76806001.64,7098006.38,205682268.97,121274194.64,42.86,3.0
2024-10-01,2024-Q4,2024,4,Cloud,Asia Pacific,39105077.23,13180407.51,30955,87.88,1783752,25924669.72,66.29,71,-40.15,9.05,196.69,2.97,21.92,53.13,72,69.95,61196836.55,36799716.09,73115431.9,8656207.55,244787346.21,147198864.36,14.29,1.0
2020-01-01,2020-Q1,2020,1,Hardware,Asia Pacific,24506761.58,14464636.7,14894,77.93,1472256,10042124.87,40.98,84,0.0,11.2,69.43,1.69,16.65,0.0,38,99.88,24506761.58,10042124.87,24506761.58,0.0,24506761.58,10042124.87,71.43,5.0
2020-04-01,2020-Q2,2020,2,Hardware,Asia Pacific,76198062.93,47716599.52,7309,98.92,1694743,28481463.41,37.38,75,210.93,19.82,59.69,1.6,44.96,15.11,84,63.1,50352412.25,19261794.14,24506761.58,13038581.32,100704824.51,38523588.29,85.71,6.0
2020-07-01,2020-Q3,2020,3,Hardware,Asia Pacific,60788877.96,25058120.97,12168,86.1,878384,35730757.0,58.78,72,-20.22,17.54,142.59,2.43,69.21,-48.17,32,97.12,53831234.16,24751448.43,50352412.25,13244289.86,161493702.47,74254345.28,14.29,1.0
2020-10-01,2020-Q4,2020,4,Hardware,Asia Pacific,70597844.39,32517047.3,31205,75.24,1069964,38080797.09,53.94,71,16.14,16.35,117.11,2.17,65.98,21.81,7,94.89,58022886.71,28083785.59,53831234.16,12702704.17,232091546.86,112335142.37,28.57,2.0
2021-01-01,2021-Q1,2021,1,Hardware,Asia Pacific,53779044.49,31141623.48,40357,86.29,964474,22637421.0,42.09,96,-23.82,15.0,72.69,1.73,55.76,-9.86,46,93.1,65340957.44,31232609.62,58022886.71,7037449.21,53779044.49,22637421.0,57.14,4.0
2021-04-01,2021-Q2,2021,2,Hardware,Asia Pacific,73808634.48,46946040.81,18922,89.49,1883383,26862593.68,36.39,94,37.24,21.06,57.22,1.57,39.19,95.28,53,69.68,64743600.33,30827892.19,65340957.44,7290407.47,127587678.97,49500014.68,100.0,7.0
2021-07-01,2021-Q3,2021,3,Hardware,Asia Pacific,68742412.72,27079447.82,7423,85.84,779371,41662964.91,60.61,80,-6.86,19.95,153.85,2.54,88.2,-58.62,34,62.64,66731984.02,32310944.17,64743600.33,9018741.01,196330091.69,91162979.59,57.14,4.0
2021-10-01,2021-Q4,2021,4,Hardware,Asia Pacific,54153339.39,23983094.69,47484,89.19,124317,30170244.7,55.71,80,-21.22,10.62,125.8,2.26,435.61,-84.05,14,65.76,62620857.77,30333306.07,66731984.02,8158027.74,250483431.09,121333224.29,14.29,1.0
2022-01-01,2022-Q1,2022,1,Hardware,Asia Pacific,56666877.67,19466838.09,35928,82.18,1669044,37200039.57,65.65,92,4.64,14.55,191.09,2.91,33.95,1242.57,18,94.55,63342816.07,33973960.72,62620857.77,6697466.36,56666877.67,37200039.57,14.29,1.0
2022-04-01,2022-Q2,2022,2,Hardware,Asia Pacific,37464776.87,24894194.75,19371,88.07,130840,12570582.12,33.55,73,-33.89,9.89,50.5,1.5,286.34,-92.16,15,80.74,54256851.66,30400957.83,63342816.07,12793694.31,94131654.53,49770621.69,100.0,7.0
2022-07-01,2022-Q3,2022,3,Hardware,Asia Pacific,42142320.19,23351596.29,31984,79.71,1848277,18790723.9,44.59,85,12.49,9.77,80.47,1.8,22.8,1312.62,49,60.87,47606828.53,24682897.57,54256851.66,11078744.19,136273974.73,68561345.59,71.43,5.0
2022-10-01,2022-Q4,2022,4,Hardware,Asia Pacific,89739042.25,50688058.25,34574,77.83,918391,39050983.99,43.52,81,112.94,24.17,77.04,1.77,97.71,-50.31,97,98.05,56503254.24,26903082.4,47606828.53,13226611.62,226013016.97,107612329.58,71.43,5.0
2023-01-01,2023-Q1,2023,1,Hardware,Asia Pacific,54450135.62,19213575.12,24310,81.09,480821,35236560.5,64.71,78,-39.32,15.04,183.39,2.83,113.24,-47.65,67,66.66,55949068.73,26412212.63,56503254.24,12744743.79,54450135.62,35236560.5,28.57,2.0
2023-04-01,2023-Q2,2023,2,Hardware,Asia Pacific,33839150.41,15420294.47,20108,97.93,667332,18418855.94,54.43,88,-37.85,8.33,119.45,2.19,50.71,38.79,64,67.93,55042662.12,27874281.08,55949068.73,10817238.12,88289286.03,53655416.44,57.14,4.0
2023-07-01,2023-Q3,2023,3,Hardware,Asia Pacific,86961184.85,40852965.57,46384,80.32,480760,46108219.28,53.02,78,156.98,18.7,112.86,2.13,180.88,-27.96,48,68.87,66247378.28,34703654.93,55042662.12,11753609.72,175250470.88,99763635.72,28.57,2.0
2023-10-01,2023-Q4,2023,4,Hardware,Asia Pacific,40245904.82,19637534.28,13364,76.81,1625087,20608370.54,51.21,84,-53.72,9.56,104.94,2.05,24.77,238.02,78,80.78,53874093.92,30093001.57,66247378.28,13028012.11,215496375.7,120372006.26,71.43,5.0
2024-01-01,2024-Q1,2024,1,Hardware,Asia Pacific,28592260.78,11775948.49,40827,89.59,1744741,16816312.29,58.81,98,-28.96,7.38,142.8,2.43,16.39,7.36,27,65.69,47409625.22,25487939.51,53874093.92,13834440.02,28592260.78,16816312.29,28.57,2.0
2024-04-01,2024-Q2,2024,2,Hardware,Asia Pacific,77614719.37,28925844.89,44779,75.06,669092,48688874.49,62.73,95,171.45,15.11,168.32,2.68,116.0,-61.65,94,74.26,58353517.46,33055444.15,47409625.22,16667514.59,106206980.15,65505186.77,28.57,2.0
2024-07-01,2024-Q3,2024,3,Hardware,Asia Pacific,81343046.98,47744802.03,16077,96.3,850623,33598244.95,41.3,74,4.8,18.64,70.37,1.7,95.63,27.13,43,76.81,56948982.99,29927950.57,58353517.46,14424665.88,187550027.14,99103431.73,100.0,7.0
2024-10-01,2024-Q4,2024,4,Hardware,Asia Pacific,97246880.27,59033009.34,8007,73.48,859440,38213870.93,39.3,85,19.55,22.5,64.73,1.65,113.15,1.04,87,77.96,71199226.85,34329325.66,56948982.99,13273111.3,284796907.4,137317302.65,85.71,6.0
2020-01-01,2020-Q1,2020,1,Maps,Asia Pacific,35336333.4,12061070.42,49352,92.42,414555,23275262.98,65.87,94,0.0,16.15,192.98,2.93,85.24,0.0,49,68.52,35336333.4,23275262.98,35336333.4,0.0,35336333.4,23275262.98,14.29,1.0
2020-04-01,2020-Q2,2020,2,Maps,Asia Pacific,65828035.95,24894635.15,5271,85.51,162054,40933400.8,62.18,88,86.29,17.12,164.43,2.64,406.21,-60.91,2,71.95,50582184.68,32104331.89,35336333.4,12486189.0,101164369.35,64208663.78,57.14,4.0
2020-07-01,2020-Q3,2020,3,Maps,Asia Pacific,49374364.74,28595178.59,46658,78.66,565221,20779186.15,42.08,87,-24.99,14.24,72.67,1.73,87.35,248.79,82,92.11,50179578.03,28329283.31,50582184.68,10986602.44,150538734.09,84987849.93,57.14,4.0
2020-10-01,2020-Q4,2020,4,Maps,Asia Pacific,37849819.86,24080491.17,47703,83.66,1469044,13769328.69,36.38,81,-23.34,8.77,57.18,1.57,25.76,159.91,60,98.21,47097138.49,24689294.65,50179578.03,11552850.66,188388553.95,98757178.62,100.0,7.0
2021-01-01,2021-Q1,2021,1,Maps,Asia Pacific,49815051.09,32551996.19,46131,77.62,1955862,17263054.9,34.65,72,31.61,13.9,53.03,1.53,25.47,33.14,17,83.51,50716817.91,23186242.63,47097138.49,12172619.07,49815051.09,17263054.9,100.0,7.0
2021-04-01,2021-Q2,2021,2,Maps,Asia Pacific,52085485.87,24656677.18,21215,96.62,1491043,27428808.69,52.66,83,4.56,14.86,111.24,2.11,34.93,-23.77,82,81.94,47281180.39,19810094.61,50716817.91,5829871.55,101900536.95,44691863.59,57.14,4.0
2021-07-01,2021-Q3,2021,3,Maps,Asia Pacific,33207630.37,19170140.63,21748,70.57,1488130,14037489.74,42.27,93,-36.24,9.64,73.23,1.73,22.32,-0.2,30,64.68,43239496.8,18124670.51,47281180.39,6402692.6,135108167.33,58729353.33,100.0,7.0
2021-10-01,2021-Q4,2021,4,Maps,Asia Pacific,97028885.06,55354842.89,49209,73.67,297247,41674042.17,42.95,78,192.19,19.03,75.29,1.75,326.43,-80.03,74,86.2,58034263.1,25100848.87,43239496.8,12435420.68,232137052.39,100403395.5,57.14,4.0
2022-01-01,2022-Q1,2022,1,Maps,Asia Pacific,63667643.76,35032949.93,44224,93.04,1928075,28634693.83,44.98,80,-34.38,16.35,81.74,1.82,33.02,548.64,31,67.55,61497411.26,27943758.61,58034263.1,11293767.68,63667643.76,28634693.83,71.43,5.0
2022-04-01,2022-Q2,2022,2,Maps,Asia Pacific,33444602.2,13119654.04,49151,92.16,596030,20324948.15,60.77,78,-47.47,8.83,154.92,2.55,56.11,-69.09,96,86.91,56837190.35,26167793.47,61497411.26,11941698.04,97112245.95,48959641.98,57.14,4.0
2022-07-01,2022-Q3,2022,3,Maps,Asia Pacific,60664778.12,19877582.73,47875,94.62,533763,40787195.38,67.23,73,81.39,14.06,205.19,3.05,113.65,-10.45,42,92.97,63701477.28,32855219.88,56837190.35,10255216.75,157777024.07,89746837.36,14.29,1.0
2022-10-01,2022-Q4,2022,4,Maps,Asia Pacific,60500524.53,30189357.75,22101,95.66,1853761,30311166.78,50.1,75,-0.27,16.3,100.4,2.0,32.64,247.3,81,80.33,54569387.15,30014501.04,63701477.28,8404963.95,218277548.59,120058004.14,42.86,3.0
2023-01-01,2023-Q1,2023,1,Maps,Asia Pacific,51967684.42,20600312.48,48397,84.47,1427729,31367371.94,60.36,74,-14.1,14.36,152.27,2.52,36.4,-22.98,47,88.61,51644397.31,30697670.56,54569387.15,8366396.41,51967684.42,31367371.94,42.86,3.0
2023-04-01,2023-Q2,2023,2,Maps,Asia Pacific,69413128.62,41282418.11,45305,85.24,448828,28130710.51,40.53,90,33.57,17.1,68.14,1.68,154.65,-68.56,17,94.88,60636528.92,32649111.15,51644397.31,5590265.31,121380813.04,59498082.45,100.0,7.0
2023-07-01,2023-Q3,2023,3,Maps,Asia Pacific,76931050.31,40180722.46,20948,79.11,1421067,36750327.85,47.77,93,10.83,16.54,91.46,1.91,54.14,216.62,50,91.56,64703096.97,31639894.27,60636528.92,3663818.01,198311863.34,96248410.3,42.86,3.0
2023-10-01,2023-Q4,2023,4,Maps,Asia Pacific,37194770.53,13321232.47,19160,76.95,1329831,23873538.06,64.19,87,-51.65,8.83,179.21,2.79,27.97,-6.42,16,68.68,58876658.47,30030487.09,64703096.97,5430183.95,235506633.88,120121948.36,28.57,2.0
2024-01-01,2024-Q1,2024,1,Maps,Asia Pacific,80168696.38,47837248.06,49199,78.4,198687,32331448.33,40.33,98,115.54,20.7,67.59,1.68,403.49,-85.06,36,64.05,65926911.46,30271506.19,58876658.47,5529782.82,80168696.38,32331448.33,71.43,5.0
